"","Source","Target","Weight"
"365","Q22897","Q4663253",69
"366","Q22897","Q4663261",81
"367","Q22897","Q4663273",24
"368","Q22897","Q4663309",49
"369","Q22897","Q4663321",46
"370","Q22897","Q4663356",68
"371","Q22897","Q4663389",62
"372","Q22897","Q4663903",56
"373","Q22897","Q4663914",61
"374","Q22897","Q4663933",27
"375","Q22897","Q4663944",29
"376","Q22897","Q4663975",48
"377","Q22897","Q4663994",43
"378","Q22897","Q4664011",73
"379","Q22897","Q4664090",46
"380","Q22897","Q4664109",69
"381","Q22897","Q4994848",74
"382","Q22897","Q55386965",55
"383","Q22897","Q642335",75
"384","Q22897","Q79951",70
"385","Q22897","Q9276887",16
"386","Q3186256","Q3621820",64
"387","Q3186256","Q3916099",72
"388","Q3186256","Q4048254",77
"389","Q3186256","Q4167410",82
"390","Q3186256","Q4167836",71
"391","Q3186256","Q4345841",85
"392","Q3186256","Q4592334",75
"393","Q3186256","Q4616152",21
"394","Q3186256","Q4616470",71
"395","Q3186256","Q4654351",69
"396","Q3186256","Q4654366",20
"397","Q3186256","Q4654415",40
"398","Q3186256","Q4654447",5
"399","Q3186256","Q4654593",54
"400","Q3186256","Q4654667",53
"401","Q3186256","Q4654740",35
"402","Q3186256","Q4656487",83
"403","Q3186256","Q4656524",71
"404","Q3186256","Q4656540",26
"405","Q3186256","Q4656551",7
"406","Q3186256","Q4656567",33
"407","Q3186256","Q4657130",8
"408","Q3186256","Q4657322",50
"409","Q3186256","Q4657349",26
"410","Q3186256","Q4657380",27
"411","Q3186256","Q4657574",82
"412","Q3186256","Q4657623",52
"413","Q3186256","Q4657677",40
"414","Q3186256","Q4657775",46
"415","Q3186256","Q4657797",58
"416","Q3186256","Q4663253",71
"417","Q3186256","Q4663261",85
"418","Q3186256","Q4663273",25
"419","Q3186256","Q4663309",51
"420","Q3186256","Q4663321",47
"421","Q3186256","Q4663356",67
"422","Q3186256","Q4663389",64
"423","Q3186256","Q4663903",58
"424","Q3186256","Q4663914",65
"425","Q3186256","Q4663933",27
"426","Q3186256","Q4663944",29
"427","Q3186256","Q4663975",46
"428","Q3186256","Q4663994",44
"429","Q3186256","Q4664011",79
"430","Q3186256","Q4664090",46
"431","Q3186256","Q4664109",68
"432","Q3186256","Q4994848",80
"433","Q3186256","Q55386965",55
"434","Q3186256","Q642335",75
"435","Q3186256","Q79951",78
"436","Q3186256","Q9276887",18
"437","Q3621820","Q3916099",61
"438","Q3621820","Q4048254",53
"439","Q3621820","Q4167410",62
"440","Q3621820","Q4167836",57
"441","Q3621820","Q4345841",65
"442","Q3621820","Q4592334",56
"443","Q3621820","Q4616152",20
"444","Q3621820","Q4616470",57
"445","Q3621820","Q4654351",56
"446","Q3621820","Q4654366",19
"447","Q3621820","Q4654415",39
"448","Q3621820","Q4654447",5
"449","Q3621820","Q4654593",44
"450","Q3621820","Q4654667",45
"451","Q3621820","Q4654740",33
"452","Q3621820","Q4656487",65
"453","Q3621820","Q4656524",59
"454","Q3621820","Q4656540",24
"455","Q3621820","Q4656551",7
"456","Q3621820","Q4656567",33
"457","Q3621820","Q4657130",6
"458","Q3621820","Q4657322",44
"459","Q3621820","Q4657349",25
"460","Q3621820","Q4657380",25
"461","Q3621820","Q4657574",59
"462","Q3621820","Q4657623",46
"463","Q3621820","Q4657677",36
"464","Q3621820","Q4657775",43
"465","Q3621820","Q4657797",49
"466","Q3621820","Q4663253",58
"467","Q3621820","Q4663261",64
"468","Q3621820","Q4663273",22
"469","Q3621820","Q4663309",41
"470","Q3621820","Q4663321",40
"471","Q3621820","Q4663356",58
"472","Q3621820","Q4663389",52
"473","Q3621820","Q4663903",49
"474","Q3621820","Q4663914",51
"475","Q3621820","Q4663933",25
"476","Q3621820","Q4663944",28
"477","Q3621820","Q4663975",42
"478","Q3621820","Q4663994",41
"479","Q3621820","Q4664011",59
"480","Q3621820","Q4664090",39
"481","Q3621820","Q4664109",49
"482","Q3621820","Q4994848",60
"483","Q3621820","Q55386965",46
"484","Q3621820","Q642335",58
"485","Q3621820","Q79951",61
"486","Q3621820","Q9276887",15
"487","Q3916099","Q4048254",66
"488","Q3916099","Q4167410",71
"489","Q3916099","Q4167836",66
"490","Q3916099","Q4345841",76
"491","Q3916099","Q4592334",67
"492","Q3916099","Q4616152",21
"493","Q3916099","Q4616470",65
"494","Q3916099","Q4654351",64
"495","Q3916099","Q4654366",20
"496","Q3916099","Q4654415",41
"497","Q3916099","Q4654447",5
"498","Q3916099","Q4654593",54
"499","Q3916099","Q4654667",49
"500","Q3916099","Q4654740",34
"501","Q3916099","Q4656487",74
"502","Q3916099","Q4656524",67
"503","Q3916099","Q4656540",26
"504","Q3916099","Q4656551",6
"505","Q3916099","Q4656567",34
"506","Q3916099","Q4657130",6
"507","Q3916099","Q4657322",50
"508","Q3916099","Q4657349",25
"509","Q3916099","Q4657380",26
"510","Q3916099","Q4657574",69
"511","Q3916099","Q4657623",52
"512","Q3916099","Q4657677",34
"513","Q3916099","Q4657775",46
"514","Q3916099","Q4657797",56
"515","Q3916099","Q4663253",66
"516","Q3916099","Q4663261",74
"517","Q3916099","Q4663273",24
"518","Q3916099","Q4663309",49
"519","Q3916099","Q4663321",46
"520","Q3916099","Q4663356",69
"521","Q3916099","Q4663389",60
"522","Q3916099","Q4663903",54
"523","Q3916099","Q4663914",58
"524","Q3916099","Q4663933",27
"525","Q3916099","Q4663944",29
"526","Q3916099","Q4663975",47
"527","Q3916099","Q4663994",44
"528","Q3916099","Q4664011",68
"529","Q3916099","Q4664090",42
"530","Q3916099","Q4664109",59
"531","Q3916099","Q4994848",74
"532","Q3916099","Q55386965",52
"533","Q3916099","Q642335",69
"534","Q3916099","Q79951",70
"535","Q3916099","Q9276887",18
"536","Q4048254","Q4167410",80
"537","Q4048254","Q4167836",69
"538","Q4048254","Q4345841",86
"539","Q4048254","Q4592334",72
"540","Q4048254","Q4616152",20
"541","Q4048254","Q4616470",75
"542","Q4048254","Q4654351",61
"543","Q4048254","Q4654366",19
"544","Q4048254","Q4654415",38
"545","Q4048254","Q4654447",5
"546","Q4048254","Q4654593",49
"547","Q4048254","Q4654667",45
"548","Q4048254","Q4654740",34
"549","Q4048254","Q4656487",82
"550","Q4048254","Q4656524",62
"551","Q4048254","Q4656540",24
"552","Q4048254","Q4656551",6
"553","Q4048254","Q4656567",30
"554","Q4048254","Q4657130",6
"555","Q4048254","Q4657322",45
"556","Q4048254","Q4657349",26
"557","Q4048254","Q4657380",27
"558","Q4048254","Q4657574",76
