id,Language,Language (local),Articles,Total,Edits,Admins,Users,Active Users,Files,Depth,More than 
ast,Asturian,Asturianu,"129,767","228,104","3,686,679",11,"105,798",109,0,9,100000
mk,Macedonian,Македонски,"129,288","523,158","4,775,859",12,"102,621",225,"8,67",85,100000
zh-yue,Cantonese,粵語,"125,12","282,129","1,841,856",12,"241,974",299,"2,623",10,100000
bn,Bengali,বাংলা,"124,712","980,225","5,958,788",14,"380,106","1,199","15,111",286,100000
vo,Volapük,Volapük,"122,399","255,102","3,268,273",2,"32,169",34,0,15,100000
lv,Latvian,Latviešu,"114,207","464,474","3,638,490",13,"107,262",282,"25,437",74,100000
tg,Tajik,Тоҷикӣ,"107,426","262,042","1,305,059",6,"35,804",82,485,10,100000
af,Afrikaans,Afrikaans,"103,823","371,733","2,505,390",16,"150,794",178,"9,609",45,100000
my,Burmese,မြန်မာဘာသာ,"103,53","215,344","749,735",4,"102,036",135,"2,978",4,100000
mg,Malagasy,Malagasy,"94,814","245,001","1,045,031",3,"28,604",49,3,11,10000
bs,Bosnian,Bosanski,"90,21","367,372","3,411,340",9,"143,672",152,"5,456",88,10000
oc,Occitan,Occitan,"87,373","156,027","2,305,308",4,"48,065",83,924,9,10000
sq,Albanian,Shqip,"85,772","262,392","2,457,452",11,"142,945",218,"4,725",40,10000
mr,Marathi,मराठी,"84,89","282,804","2,130,427",11,"144,68",175,"19,141",41,10000
nds,Low Saxon,Plattdüütsch,"83,819","161,919","989,295",4,"48,713",41,0,5,10000
ky,Kyrgyz,Кыргызча,"81,413","111,063","421,303",2,"32,85",66,"2,688",1,10000
ml,Malayalam,മലയാളം,"78,712","486,396","3,695,624",15,"162,093",261,"6,951",204,10000
be-tarask,Belarusian (Taraškievica),Беларуская (тарашкевіца),"78,493","225,555","2,318,681",4,"75,724",124,"1,86",36,10000
te,Telugu,తెలుగు,"77,225","304,369","3,578,133",13,"113,576",166,"13,177",102,10000
sw,Swahili,Kiswahili,"73,91","146,367","1,229,309",14,"54,366",175,"2,269",8,10000
new,Newar,नेपाल भाषा,"72,352","196,934","848,657",2,"24,895",17,0,13,10000
br,Breton,Brezhoneg,"72,024","140,964","1,997,913",6,"69,648",75,"5,401",13,10000
jv,Javanese,Basa Jawa,"69,265","176,862","1,590,715",4,"53,507",77,"5,43",22,10000
vec,Venetian,Vèneto,"68,961","140,302","1,099,473",5,"31,865",47,724,8,10000
ht,Haitian,Krèyol ayisyen,"67,819","81,959","802,466",3,"28,329",60,0,0,10000
pms,Piedmontese,Piemontèis,"66,336","101,446","855,09",4,"25,176",33,"2,069",2,10000
pnb,Western Punjabi,شاہ مکھی پنجابی (Shāhmukhī Pañjābī),"65,64","113,535","605,314",2,"32,182",56,225,3,10000
su,Sundanese,Basa Sunda,"61,26","97,328","627,142",7,"28,225",51,545,2,10000
lb,Luxembourgish,Lëtzebuergesch,"60,924","131,262","2,389,056",5,"54,787",69,"2,365",24,10000
ba,Bashkir,Башҡорт,"60,177","169,48","1,144,731",7,"35,147",82,"1,454",22,10000
lld,Ladin,Lingaz,"59,568","62,771","92,684",2,"2,113",15,0,0,10000
ga,Irish,Gaeilge,"56,832","95,158","1,053,220",7,"52,13",87,"1,116",5,10000
szl,Silesian,Ślůnski,"55,775","69,013","347,153",3,"21,59",43,0,0,10000
is,Icelandic,Íslenska,"54,534","141,038","1,755,172",19,"86,154",122,"3,217",31,10000
ku,Kurdish,Kurdî / كوردی,"53,791","109,001","1,089,706",3,"51,388",110,565,11,10000
lmo,Lombard,Lumbaart,"52,004","120,737","1,106,647",5,"37,391",46,"4,437",16,10000
cv,Chuvash,Чăваш,"49,445","97,355","747,65",2,"31,005",53,537,7,10000
fy,West Frisian,Frysk,"48,937","149,379","1,080,021",8,"43,169",78,"7,54",30,10000
tl,Tagalog,Tagalog,"42,86","233,137","1,949,154",11,"122,803",133,"1,897",165,10000
wuu,Wu,吴语,"42,553","55,363","294,074",4,"78,248",45,136,0,10000
an,Aragonese,Aragonés,"41,932","127,972","1,831,327",6,"67,868",85,"1,499",60,10000
ckb,Sorani,Soranî / کوردی,"41,913","183,349","954,922",7,"50,824",141,"1,586",59,10000
sco,Scots,Scots,"40,552","146,696","860,987",4,"94,368",88,690,40,10000
diq,Zazaki,Zazaki,"40,157","60,528","486,96",3,"24,769",26,209,2,10000
pa,Punjabi,ਪੰਜਾਬੀ,"38,144","133,574","605,836",9,"41,936",154,"1,568",28,10000
yo,Yoruba,Yorùbá,"34,224","59,088","549,716",3,"24,694",60,168,5,10000
io,Ido,Ido,"33,17","48,653","989,518",5,"33,451",44,0,4,10000
ne,Nepali,नेपाली,"32,143","103,019","1,064,352",5,"58,212",81,"1,255",50,10000
bar,Bavarian,Boarisch,"31,78","116,529","829,623",3,"63,081",51,"1,32",51,10000
gu,Gujarati,ગુજરાતી,"29,929","116,779","822,754",3,"68,427",72,0,59,10000
als,Alemannic,Alemannisch,"28,907","69,516","1,013,035",9,"91,879",83,571,29,10000
kn,Kannada,ಕನ್ನಡ,"28,25","129,592","1,101,999",3,"75,49",167,"2,591",109,10000
scn,Sicilian,Sicilianu,"26,204","55,685","732,618",5,"41,132",35,"1,407",17,10000
bpy,Bishnupriya Manipuri,ইমার ঠার/বিষ্ণুপ্রিয়া মণিপুরী,"25,085","62,806","886,412",3,"23,404",24,47,32,10000
ia,Interlingua,Interlingua,"23,727","37,682","641,485",6,"44,439",41,4,6,10000
avk,Kotava,Kotava,"23,264","28,255","108,658",6,"2,953",29,0,0,10000
qu,Quechua,Qichwa simi,"23,015","55,935","649,881",2,"27,049",32,0,24,10000
mn,Mongolian,Монгол,"21,273","97,568","703,942",3,"77,415",99,"1,475",93,10000
nv,Navajo,Diné bizaad,"20,505","34,65","295,828",2,"15,015",13,707,4,10000
xmf,Mingrelian,მარგალური (Margaluri),"19,531","36,416","184,061",3,"16,966",33,0,4,10000
crh,Crimean Tatar,Qırımtatarca,"19,352","38,984","175,947",2,"17,695",32,0,5,10000
si,Sinhalese,සිංහල,"17,927","79,185","505,058",3,"57,877",65,"3,13",74,10000
bat-smg,Samogitian,Žemaitėška,"17,078","29,078","355,419",5,"24,063",28,109,6,10000
ha,Hausa,Hausa / هَوُسَ,"16,745","29,911","157,334",4,"18,038",100,0,3,10000
os,Ossetian,Иронау,"15,924","59,114","521,057",3,"22,455",34,165,65,10000
frr,North Frisian,Nordfrasch,"15,911","40,898","229,827",5,"17,864",24,"1,323",14,10000
gd,Scottish Gaelic,Gàidhlig,"15,853","32,145","566,213",6,"25,482",33,347,19,10000
or,Oriya,ଓଡ଼ିଆ,"15,696","71,247","459,576",5,"30,904",50,125,81,10000
cdo,Min Dong,Mìng-dĕ̤ng-ngṳ̄,"15,527","31,204","88,942",4,"18,856",22,0,3,10000
yi,Yiddish,ייִדיש,"15,397","44,114","577,537",3,"45,163",57,"1,062",46,10000
bug,Buginese,Basa Ugi,"15,387","19,577","200,482",1,"12,197",18,0,1,10000
ilo,Ilokano,Ilokano,"15,357","70,081","391,401",2,"16,112",20,0,71,10000
sd,Sindhi,سنڌي، سندھی ، सिन्ध,"15,227","56,185","239,709",4,"15,627",32,145,31,10000
am,Amharic,አማርኛ,"15,033","45,895","371,285",2,"38,911",45,"1,765",34,10000
ps,Pashto,پښتو,"14,79","53,381","281,54",1,"27,596",60,"1,712",36,10000
nap,Neapolitan,Nnapulitano,"14,73","23,703","664,588",3,"27,569",31,281,10,10000
ban,Balinese,Bali,"14,332","29,221","118,361",3,"5,196",31,112,4,10000
sah,Sakha,Саха тыла (Saxa Tyla),"14,21","47,556","380,637",3,"22,066",38,"1,765",44,10000
hsb,Upper Sorbian,Hornjoserbsce,"13,821","35,359","377,158",4,"22,958",39,133,26,10000
fo,Faroese,Føroyskt,"13,763","40,235","368,382",3,"26,757",44,0,34,10000
map-bms,Banyumasan,Basa Banyumasan,"13,752","30,191","213,036",1,"14,862",18,462,10,10000
mai,Maithili,मैथिली,"13,717","39,13","229,193",5,"11,655",27,115,20,10000
li,Limburgish,Limburgs,"13,632","65,435","453,782",7,"26,409",23,623,100,10000
mzn,Mazandarani,مَزِروني,"13,427","30,387","165,506",3,"29,891",40,263,9,10000
gor,Gorontalo,Hulontalo,"13,121","20,477","50,305",2,"3,963",41,0,1,10000
eml,Emilian-Romagnol,Emiliàn e rumagnòl,"13,009","35,032","151,925",3,"23,229",29,"2,739",12,10000
ace,Acehnese,Basa Acèh,"12,543","26,457","137,158",3,"23,976",26,0,6,10000
bcl,Central Bicolano,Bikol,"12,208","32,573","232,153",3,"19,533",44,865,20,10000
sa,Sanskrit,संस्कृतम्,"11,766","69,88","468,746",4,"35,174",35,445,164,10000
wa,Walloon,Walon,"11,513","27,152","387,751",4,"22,123",17,614,26,10000
zh-classical,Classical Chinese,古文 / 文言文,"11,381","96,411","378,931",6,"94,142",55,0,219,10000
shn,Shan,လိၵ်ႈတႆး,"11,344","26,789","54,266",2,"3,225",15,60,4,10000
lij,Ligurian,Lìgure,"10,998","26,583","230,645",8,"14,377",25,6,17,10000
zu,Zulu,isiZulu,"10,557","23,937","96,356",1,"17,325",36,0,6,10000
as,Assamese,অসমীয়া,"10,428","72,252","326,554",4,"34,168",112,"1,694",159,10000
mrj,Hill Mari,Кырык Мары (Kyryk Mary),"10,427","18,575","100,389",1,"9,901",16,0,3,10000
mhr,Meadow Mari,Олык Марий (Olyk Marij),"10,408","27,12","184,655",1,"13,043",27,0,18,10000
hif,Fiji Hindi,Fiji Hindi,"10,267","41,951","271,807",2,"29,365",34,192,62,10000
hyw,Western Armenian,Արեւմտահայերէն,"10,186","21,432","194,25",5,"7,185",36,0,11,10000
ie,Interlingue,Interlingue,"10,083","13,834","149,526",3,"16,722",28,0,1,10000
mni,Meitei,ꯃꯤꯇꯩꯂꯣꯟ,"10,074","16,129","48,187",1,"2,08",17,0,1,10000
hak,Hakka,Hak-kâ-fa / 客家話,"9,441","18,257","122,313",1,"30,243",19,0,6,1000
km,Khmer,ភាសាខ្មែរ,"9,396","33,223","280,727",6,"36,03",77,"1,101",54,1000
roa-tara,Tarantino,Tarandíne,"9,306","17,638","140,082",2,"10,768",8,288,6,1000
pam,Kapampangan,Kapampangan,"8,841","21,41","295,631",2,"19,317",22,403,28,1000
nso,Northern Sotho,Sepedi,"8,51","10,742","49,547",1,"5,777",19,0,0,1000
rue,Rusyn,Русиньскый,"8,358","17,556","130,545",1,"25,147",39,87,9,1000
ig,Igbo,Ìgbò,"8,296","14,494","82,988",5,"13,634",66,0,3,1000
so,Somali,Soomaali,"8,296","25,481","237,056",1,"31,889",60,0,40,1000
sn,Shona,chiShona,"8,287","16,522","96,36",1,"15,341",25,0,6,1000
bh,Bhojpuri,भोजपुरी,"7,995","68,674","721,936",2,"29,382",35,54,606,1000
se,Northern Sami,Sámegiella,"7,802","20,853","300,619",6,"26,151",22,0,40,1000
myv,Erzya,Эрзянь (Erzjanj Kelj),"7,7","25,993","139,204",4,"11,713",30,0,30,1000
vls,West Flemish,West-Vlams,"7,616","21,183","308,711",5,"24,546",20,480,46,1000
nds-nl,Dutch Low Saxon,Nedersaksisch,"7,596","20,395","320,511",6,"25,726",25,571,45,1000
mi,Maori,Māori,"7,418","13,428","153,171",2,"16,502",21,0,7,1000
sat,Santali,ᱥᱟᱱᱛᱟᱲᱤ,"7,35","16,844","95,734",3,"5,347",37,0,9,1000
sc,Sardinian,Sardu,"7,324","16,355","177,169",4,"21,79",32,150,16,1000
nah,Nahuatl,Nāhuatl,"7,065","19,081","495,422",3,"20,632",29,170,75,1000
vep,Vepsian,Vepsän,"6,699","30,915","150,721",1,"14,372",28,0,64,1000
gan,Gan,贛語,"6,489","33,572","394,728",1,"38,407",20,146,205,1000
kab,Kabyle,Taqbaylit,"6,422","15,879","105,81",2,"11,95",22,0,14,1000
glk,Gilaki,گیلکی,"6,408","13,778","61,89",3,"14,198",20,807,6,1000
tk,Turkmen,Türkmen,"6,286","15,587","228,811",2,"24,565",54,319,32,1000
fiu-vro,Võro,Võro,"6,2","12,038","176,402",4,"13,137",18,201,13,1000
co,Corsican,Corsu,"6,196","14,782","379,428",2,"19,765",33,0,49,1000
bo,Tibetan,བོད་སྐད,"6,012","17,549","139,779",1,"26,298",31,0,29,1000
ab,Abkhazian,Аԥсуа,"5,985","20,338","117,94",2,"17,588",28,9,33,1000
ary,Moroccan Arabic,داريجة,"5,625","43,099","179,336",3,"6,067",38,35,185,1000
frp,Franco-Provençal,Arpetan,"5,595","15,379","214,25",2,"14,614",24,0,43,1000
kv,Komi,Коми,"5,48","16,59","138,361",1,"13,162",14,0,34,1000
kw,Cornish,Kernowek/Karnuack,"5,469","11,69","199,252",2,"13,634",24,6,22,1000
csb,Kashubian,Kaszëbsczi,"5,431","8,724","185,825",3,"15,355",23,0,8,1000
gv,Manx,Gaelg,"5,429","19,852","307,223",3,"17,951",19,185,109,1000
pcd,Picard,Picard,"5,4","10,529","68,693",3,"15,686",18,49,6,1000
ug,Uyghur,ئۇيغۇر تىلى,"5,293","14,866","153,595",1,"19,665",35,282,34,1000
udm,Udmurt,Удмурт кыл,"5,132","17,006","120,584",4,"13,732",22,9,38,1000
skr,Saraiki,سرائیکی,"5,131","5,68","26,607",1,"1,252",16,0,0,1000
ay,Aymara,Aymar,"5,027","8,623","95,513",1,"15,255",21,0,6,1000
zea,Zeelandic,Zeêuws,"4,995","9,449","116,831",3,"11,977",13,1,10,1000
nrm,Norman,Nouormand/Normaund,"4,83","10,366","219,176",2,"12,279",16,0,28,1000
gn,Guarani,Avañe'ẽ,"4,812","11,09","120,237",2,"16,326",25,0,18,1000
mt,Maltese,Malti,"4,705","18,733","277,097",5,"20,072",31,"1,146",131,1000
bjn,Banjar,Bahasa Banjar,"4,584","22,292","76,828",2,"12,734",31,1,51,1000
smn,Inari Sami,Anarâškielâ,"4,461","13,996","64,543",6,"2,226",20,0,21,1000
lez,Lezgian,Лезги чІал (Lezgi č’al),"4,305","12,987","86,527",3,"9,724",15,10,27,1000
lfn,Lingua Franca Nova,Lingua franca nova,"4,175","6,661","37,906",1,"9,046",22,0,2,1000
stq,Saterland Frisian,Seeltersk,"4,063","10,62","120,376",4,"12,469",22,438,30,1000
lo,Lao,ລາວ,"4,018","12,325","94,671",1,"15,316",33,0,33,1000
mwl,Mirandese,Mirandés,"3,88","10,207","98,652",1,"12,156",19,0,26,1000
olo,Livvi-Karelian,Karjalan,"3,86","10,542","31,973",2,"5,954",13,0,9,1000
fur,Friulian,Furlan,"3,758","8,578","170,27",2,"13,126",16,318,33,1000
rm,Romansh,Rumantsch,"3,754","9,593","162,877",3,"18,436",16,51,41,1000
lad,Ladino,Dzhudezmo,"3,605","12,943","208,81",5,"19,549",25,23,108,1000
ang,Anglo-Saxon,Ænglisc,"3,58","16,232","205,213",2,"117,394",46,300,158,1000
gom,Goan Konkani,गोंयची कोंकणी / Gõychi Konknni,"3,548","9,024","206,324",4,"8,559",12,0,54,1000
koi,Komi-Permyak,Перем Коми (Perem Komi),"3,443","10,915","59,64",1,"7,845",11,0,26,1000
ext,Extremaduran,Estremeñu,"3,362","7,522","115,652",1,"15,968",11,0,24,1000
tyv,Tuvan,Тыва,"3,358","11,118","43,302",1,"8,031",15,0,21,1000
dsb,Lower Sorbian,Dolnoserbski,"3,323","11,193","142,726",1,"17,143",21,0,72,1000
rw,Kinyarwanda,Ikinyarwanda,"3,311","9,33","85,723",1,"11,051",33,0,30,1000
dty,Doteli,डोटेली,"3,305","19,13","237,292",3,"5,452",17,3,284,1000
tum,Tumbuka,chiTumbuka,"3,278","5,132","28,01",1,"7,137",17,0,2,1000
